ID,CALL,CN,TYPE
DD9B78,D-2851,8L,LS 4
DDDC45,D-4130,30,DG101-g
DDDFAF,D-5893,MT,LS1-f
D00A26,D-2951,AW,Std. Libelle
DDAFEA,D-0570,WLC,LS4-a
dda453,D-1980,G1,DG100
DF0C36,D-2245,PM,LS1-f
dd992a,D-3396,BJ,Ls4-a WL
DDDD2E,D-2760,LL,LS1-f
dda299,D-3739,BM,DG100
DDA756,D-5999,999,DG100
ddb05f,D-3723,I,LS 4
DD831B,D-2648,NO,ASW19
dda9e1,D-1716,6B,LS 4
dda293,D-7167,GZ,Discus CS
df1002,D-3446,MH,LS 4
DDAFE9,D-4103,FU,LS4-b WL
DDEBBC,D-1243,OL,DG300 (303)
ddc313,D-5352,GP,DG300
DD9FF9,D-3581,II,LS4
DD9A7B,D-4235,LC,LS4
DDBC47,D-5104,04,LS4
DD9CA1,D-7477,EH,LS4-b WL
DD9BE5,D-3394,TU,LS7 WL
DD920A,D-6714,1D,ASW 19-b
dda80e,D-1065,V7,LS1-c
